County,CountyDrinking,Population,BirthDefectCases,BDPrevalence,GDPcap,FIPS,FIPS State,OverdoseRate,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Brazoria,0.19,"372,031","2,999",0.0637,44487,48039,48,14.06633,"1,363",308,36.9,13.9,14,358.9,31,11.4,15,30,11,0.066,13.5,47.3
Brazos,0.2,"233,849","1,438",0.0532,44559,48041,48,8.12541,586,427,27.1,31.8,15,666.4,19,10.1,28,29,8,0.056,10.4,55.9
Brewster,0.17,"9,546",39,0.0417,44642,48043,48,16.61301,"6,184",2,43.5,16.9,15,492.1,28,6.3,16,29,11,0.057,1.1,50.3
Briscoe,0.16,"1,435",,,44662,48045,48,10.76301,900,2,45.2,33.1,16,996.7,,6.9,10,27,12,,3,69
Brooks,0.13,"7,076",70,0.0635,44866,48047,48,10.46617,943,7,35.7,40.8,19,677.7,96,8.6,21,29,11,0.0803,0.5,7
Brown,0.18,"38,095",194,0.0477,45103,48049,48,18.12838,944,42,42.2,25.2,18,527.8,38,8.3,11,32,12,0.0544,3.4,71.6
Burleson,0.18,"17,642",109,0.0543,45257,48051,48,12.17937,659,32,42.5,18.7,14,446.7,41,9.8,14,31,11,0.0645,12.3,65
Burnet,0.18,"49,130",301,0.0624,45527,48053,48,14.35833,995,57,45,18.9,14,384.9,36,9.1,14,29,11,0.0694,1.7,73.4
Caldwell,0.18,"45,883",309,0.0562,45802,48055,48,9.4058,545,99,37.2,25.2,16,1071,40,10.1,16,29,10,0.0624,5.8,39.7
Calhoun,0.17,"20,106",149,0.0538,46221,48057,48,13.57194,507,39,40.7,19.3,15,365.4,56,9.4,16,31,11,0.0625,2.5,42.4
Callahan,0.18,"13,708",89,0.0632,46478,48059,48,11.5456,899,16,43.4,20.5,16,280.3,31,7.9,15,28,11,0.0777,1.5,85.9
Cameron,0.15,"421,017","3,468",0.0521,46654,48061,48,5.75925,892,482,33,38.8,17,485.6,55,9.3,24,31,9,0.0539,0.4,8.9
Camp,0.17,"12,464",92,0.0506,46753,48063,48,12.05756,196,69,37.1,34.6,17,417.9,61,9.9,15,33,12,0.0621,15.9,55.8
Carson,0.21,"5,807",30,0.0555,46891,48065,48,14.45264,920,7,41.6,12.4,13,703.6,20,7,7,30,11,0.0792,0.8,85.5
Cass,0.17,"28,454",170,0.0506,47030,48067,48,12.62385,937,31,43.6,27.8,16,323.3,46,9.9,13,33,14,0.0582,16.7,76.5
Castro,0.16,"7,371",69,0.0613,47097,48069,48,6.79941,894,8,34.4,24.6,16,274.3,60,7.3,13,28,11,0.0776,2,31.1
Chambers,0.21,"46,571",369,0.0693,47110,48071,48,20.65897,597,99,34.7,16.1,15,195.6,25,9.9,11,28,10,0.0764,7.9,67
Cherokee,0.16,"50,412",449,0.0611,47303,48073,48,14.30484,"1,053",51,38.2,28,18,531.6,59,10,17,33,13,0.0668,13.9,60.5
Childress,0.2,"6,664",31,0.0442,47312,48075,48,14.29341,697,10,34.6,21,17,606.7,62,7.5,17,30,9,0.0628,9.7,57
Clay,0.19,"10,218",51,0.057,47331,48077,48,19.29862,"1,089",10,46.1,17.9,15,251,29,8.6,11,29,11,0.0749,0.7,89.8
Cochran,0.16,"2,547",22,0.0516,47333,48079,48,14.12955,775,3,36.4,44.7,17,372.5,41,6.8,17,28,11,0.0782,3.5,36.6
Coke,0.16,"3,285",23,0.0691,48235,48081,48,11.22889,912,4,45.1,28.1,15,277.9,40,7.5,10,29,12,0.1036,0.6,75.6
Coleman,0.17,"7,684",46,0.0569,48387,48083,48,8.08404,"1,263",6,47.3,24.4,16,359.8,54,7.8,13,28,12,0.0759,2.9,76.5
Collin,0.19,"1,064,465","6,617",0.0596,48399,48085,48,9.49165,841,"1,508",37.6,11,12,696.2,12,10.9,13,27,9,0.0611,9.7,57.3
Collingsworth,0.16,"2,652",18,0.0541,49130,48087,48,14.59846,918,3,39.6,29.7,17,,37,7.3,12,28,11,0.0854,5.1,57.6
Colorado,0.17,"20,557",106,0.0419,49195,48089,48,9.89304,960,23,42.4,20.6,15,431.2,35,9.7,10,28,12,0.0499,11.9,56.3
Comal,0.19,"161,501",825,0.0539,49206,48091,48,12.85421,560,379,41.6,12.5,13,431.6,27,10.2,14,28,8,0.0576,2.1,67.7
